                      $c_{A0}$;                       $Q_{1}$;                       $T_{1}$;                           $L$;                       $c_{A}$;                       $c_{B}$;                       $T_{2}$;                       $Q_{5}$;                       $Q_{4}$;                       $T_{3}$;                       $h_{7}$;                       $u_{1}$;                 $u_{3}=m_{2}$;                       $u_{2}$;                       $r_{1}$;                       $r_{2}$;                       $r_{3}$;                       $r_{4}$;                         CLASS
    0.19935E+02;    0.25106E+00;    0.30004E+02;    0.20024E+01;    0.28327E+01;    0.17041E+02;    0.79756E+02;    0.90729E+00;    0.24750E+00;    0.19877E+02;    0.56244E+05;    0.25510E+02;    0.40597E+02;    0.90149E+00;    0.66689E-02;    0.10151E-01;   -0.38132E-02;   -0.21372E+00;normal
    0.20004E+02;    0.24972E+00;    0.29802E+02;    0.19734E+01;    0.28758E+01;    0.17127E+02;    0.79983E+02;    0.89531E+00;    0.24704E+00;    0.19852E+02;    0.56471E+05;    0.25235E+02;    0.40424E+02;    0.91279E+00;   -0.37377E-01;    0.43083E-03;   -0.29706E-02;   -0.71757E+00;normal
    0.19899E+02;    0.24889E+00;    0.29928E+02;    0.20133E+01;    0.28547E+01;    0.16923E+02;    0.80041E+02;    0.89832E+00;    0.25296E+00;    0.20171E+02;    0.55736E+05;    0.24839E+02;    0.40608E+02;    0.89990E+00;    0.22514E-01;    0.49764E-02;    0.46302E-02;   -0.19590E+00;normal
    0.19812E+02;    0.25408E+00;    0.30023E+02;    0.19923E+01;    0.28596E+01;    0.17000E+02;    0.80095E+02;    0.89516E+00;    0.24926E+00;    0.20243E+02;    0.55998E+05;    0.25456E+02;    0.40697E+02;    0.90305E+00;   -0.84048E-02;   -0.23775E-02;   -0.17878E-02;   -0.57032E+00;normal
    0.20120E+02;    0.25131E+00;    0.29912E+02;    0.19953E+01;    0.28485E+01;    0.17277E+02;    0.80091E+02;    0.90472E+00;    0.24603E+00;    0.19986E+02;    0.55981E+05;    0.24612E+02;    0.40620E+02;    0.90170E+00;   -0.46908E-02;    0.91285E-02;   -0.12212E-02;    0.29885E+00;normal
    0.20070E+02;    0.24913E+00;    0.30144E+02;    0.19841E+01;    0.28202E+01;    0.17206E+02;    0.79943E+02;    0.90833E+00;    0.24947E+00;    0.19857E+02;    0.56790E+05;    0.24323E+02;    0.40613E+02;    0.90549E+00;   -0.22129E-01;    0.64704E-02;    0.35574E-02;   -0.34671E+00;normal
    0.20002E+02;    0.24890E+00;    0.30100E+02;    0.20101E+01;    0.28138E+01;    0.17363E+02;    0.80008E+02;    0.88863E+00;    0.25109E+00;    0.19975E+02;    0.56128E+05;    0.25507E+02;    0.40860E+02;    0.90686E+00;    0.16405E-01;   -0.13793E-01;   -0.22443E-03;    0.89115E+00;normal
    0.20029E+02;    0.24647E+00;    0.29971E+02;    0.20120E+01;    0.28527E+01;    0.17532E+02;    0.79823E+02;    0.89783E+00;    0.24786E+00;    0.20040E+02;    0.55910E+05;    0.25630E+02;    0.40731E+02;    0.89054E+00;    0.20212E-01;    0.20002E-03;   -0.40135E-02;    0.16000E+01;normal
    0.20127E+02;    0.24864E+00;    0.30107E+02;    0.19959E+01;    0.28414E+01;    0.16968E+02;    0.79956E+02;    0.89478E+00;    0.24996E+00;    0.19779E+02;    0.56364E+05;    0.24684E+02;    0.40839E+02;    0.90157E+00;   -0.44489E-02;   -0.90234E-02;    0.23790E-02;   -0.63722E+00;normal
    0.19848E+02;    0.24904E+00;    0.30129E+02;    0.19958E+01;    0.28616E+01;    0.16911E+02;    0.79905E+02;    0.90484E+00;    0.24973E+00;    0.20025E+02;    0.55909E+05;    0.24957E+02;    0.40890E+02;    0.90338E+00;   -0.53436E-02;    0.34899E-02;    0.91290E-03;   -0.76432E+00;normal
    0.19928E+02;    0.24518E+00;    0.30129E+02;    0.19919E+01;    0.28115E+01;    0.16966E+02;    0.79840E+02;    0.90630E+00;    0.24467E+00;    0.19973E+02;    0.55573E+05;    0.25251E+02;    0.41079E+02;    0.90110E+00;   -0.11290E-01;    0.32264E-02;   -0.54613E-02;   -0.85656E+00;normal
    0.19958E+02;    0.24933E+00;    0.30115E+02;    0.19924E+01;    0.28119E+01;    0.17015E+02;    0.79902E+02;    0.91572E+00;    0.25394E+00;    0.20051E+02;    0.56118E+05;    0.25230E+02;    0.40728E+02;    0.90414E+00;   -0.11613E-01;    0.16488E-01;    0.39033E-02;   -0.71058E+00;normal
    0.20099E+02;    0.25022E+00;    0.30174E+02;    0.20087E+01;    0.28502E+01;    0.17015E+02;    0.79982E+02;    0.89213E+00;    0.25245E+00;    0.20065E+02;    0.56648E+05;    0.25151E+02;    0.40789E+02;    0.89416E+00;    0.12703E-01;   -0.12778E-01;    0.27357E-02;   -0.10242E+00;normal
    0.19923E+02;    0.25006E+00;    0.29913E+02;    0.19956E+01;    0.28366E+01;    0.17202E+02;    0.80185E+02;    0.90350E+00;    0.24938E+00;    0.19985E+02;    0.55873E+05;    0.24800E+02;    0.40595E+02;    0.89930E+00;   -0.69272E-02;    0.93497E-02;    0.12698E-02;    0.28615E-01;normal
    0.19905E+02;    0.25103E+00;    0.30102E+02;    0.20170E+01;    0.28311E+01;    0.17002E+02;    0.80116E+02;    0.89930E+00;    0.25178E+00;    0.20023E+02;    0.56349E+05;    0.24828E+02;    0.40703E+02;    0.90335E+00;    0.24562E-01;   -0.11991E-02;    0.34979E-02;    0.40808E-01;normal
    0.19951E+02;    0.24717E+00;    0.30273E+02;    0.19957E+01;    0.28862E+01;    0.17241E+02;    0.79953E+02;    0.89868E+00;    0.25402E+00;    0.19875E+02;    0.56201E+05;    0.25562E+02;    0.40630E+02;    0.90435E+00;   -0.76271E-02;    0.11027E-02;    0.24997E-02;    0.29192E+00;normal
    0.20061E+02;    0.24923E+00;    0.30003E+02;    0.19876E+01;    0.28665E+01;    0.17017E+02;    0.80062E+02;    0.89824E+00;    0.25089E+00;    0.19709E+02;    0.55932E+05;    0.25671E+02;    0.40636E+02;    0.90137E+00;   -0.20386E-01;    0.26598E-02;   -0.10939E-02;   -0.68974E+00;normal
    0.19882E+02;    0.24641E+00;    0.29850E+02;    0.20066E+01;    0.28555E+01;    0.17034E+02;    0.80125E+02;    0.88707E+00;    0.25095E+00;    0.20081E+02;    0.56744E+05;    0.24812E+02;    0.40514E+02;    0.90927E+00;    0.88436E-02;   -0.12097E-01;    0.27635E-02;   -0.94026E-01;normal
    0.19890E+02;    0.24863E+00;    0.30051E+02;    0.19925E+01;    0.28020E+01;    0.17068E+02;    0.79716E+02;    0.89763E+00;    0.24978E+00;    0.19927E+02;    0.56188E+05;    0.25424E+02;    0.40514E+02;    0.89925E+00;   -0.13015E-01;    0.28732E-02;   -0.11242E-02;   -0.58624E+00;normal
    0.20154E+02;    0.25232E+00;    0.29845E+02;    0.20020E+01;    0.28609E+01;    0.17056E+02;    0.79988E+02;    0.90044E+00;    0.24829E+00;    0.20086E+02;    0.56417E+05;    0.25603E+02;    0.40588E+02;    0.90505E+00;    0.10219E-02;    0.21213E-02;   -0.34320E-02;   -0.16117E+00;normal
    0.19971E+02;    0.25042E+00;    0.29916E+02;    0.19873E+01;    0.28210E+01;    0.17147E+02;    0.79946E+02;    0.89835E+00;    0.24747E+00;    0.19894E+02;    0.56057E+05;    0.25171E+02;    0.41263E+02;    0.90533E+00;   -0.20761E-01;   -0.12955E-01;   -0.22904E-02;   -0.44673E+00;normal
    0.19811E+02;    0.24928E+00;    0.30095E+02;    0.20042E+01;    0.28322E+01;    0.16975E+02;    0.79741E+02;    0.90031E+00;    0.24744E+00;    0.19960E+02;    0.56357E+05;    0.25358E+02;    0.40279E+02;    0.89982E+00;    0.44733E-02;    0.97492E-02;   -0.31936E-02;   -0.41243E+00;normal
    0.20263E+02;    0.25209E+00;    0.30024E+02;    0.19989E+01;    0.28545E+01;    0.17156E+02;    0.80040E+02;    0.90814E+00;    0.24871E+00;    0.19902E+02;    0.56240E+05;    0.24878E+02;    0.41204E+02;    0.89970E+00;   -0.37992E-02;   -0.32821E-02;    0.24058E-03;    0.25028E-01;normal
    0.20015E+02;    0.24945E+00;    0.30181E+02;    0.19996E+01;    0.28699E+01;    0.17027E+02;    0.80219E+02;    0.89244E+00;    0.25188E+00;    0.19995E+02;    0.56106E+05;    0.25024E+02;    0.40492E+02;    0.89045E+00;   -0.29276E-02;   -0.11339E-02;    0.27564E-02;   -0.29524E+00;normal
    0.19990E+02;    0.24953E+00;    0.29710E+02;    0.20049E+01;    0.28405E+01;    0.17108E+02;    0.80129E+02;    0.89223E+00;    0.24793E+00;    0.20044E+02;    0.56152E+05;    0.24928E+02;    0.40633E+02;    0.89957E+00;    0.45697E-02;   -0.50401E-02;   -0.77180E-03;    0.13317E-01;normal
    0.19917E+02;    0.25309E+00;    0.29864E+02;    0.20156E+01;    0.28396E+01;    0.17039E+02;    0.79999E+02;    0.90130E+00;    0.25593E+00;    0.19917E+02;    0.56333E+05;    0.25138E+02;    0.41171E+02;    0.90312E+00;    0.20940E-01;   -0.10082E-01;    0.62514E-02;    0.13170E+00;normal
    0.20027E+02;    0.25149E+00;    0.29614E+02;    0.20051E+01;    0.28621E+01;    0.17000E+02;    0.80221E+02;    0.89832E+00;    0.24863E+00;    0.20092E+02;    0.56356E+05;    0.25145E+02;    0.40887E+02;    0.89683E+00;    0.61102E-02;   -0.65674E-02;   -0.10551E-02;   -0.22195E+00;normal
    0.19973E+02;    0.25001E+00;    0.29767E+02;    0.19940E+01;    0.28291E+01;    0.17182E+02;    0.79840E+02;    0.89585E+00;    0.25009E+00;    0.20277E+02;    0.56315E+05;    0.24499E+02;    0.41167E+02;    0.89705E+00;   -0.10122E-01;   -0.15293E-01;    0.33556E-02;   -0.10417E+00;normal
    0.19755E+02;    0.24573E+00;    0.30084E+02;    0.19863E+01;    0.28687E+01;    0.17237E+02;    0.79961E+02;    0.90120E+00;    0.24922E+00;    0.19984E+02;    0.56494E+05;    0.25376E+02;    0.40310E+02;    0.90634E+00;   -0.20754E-01;    0.88355E-02;   -0.14462E-02;   -0.37550E-01;normal
    0.20084E+02;    0.24999E+00;    0.29900E+02;    0.19878E+01;    0.28444E+01;    0.17140E+02;    0.79975E+02;    0.89717E+00;    0.25127E+00;    0.20037E+02;    0.56212E+05;    0.25033E+02;    0.41043E+02;    0.89431E+00;   -0.18459E-01;   -0.10230E-01;    0.21317E-02;   -0.35149E+00;normal
    0.20113E+02;    0.24491E+00;    0.30134E+02;    0.20091E+01;    0.28547E+01;    0.17067E+02;    0.80126E+02;    0.90620E+00;    0.24865E+00;    0.19908E+02;    0.56151E+05;    0.25350E+02;    0.40991E+02;    0.89202E+00;    0.13283E-01;    0.53022E-03;   -0.19650E-02;    0.85590E-01;normal
    0.20173E+02;    0.24920E+00;    0.30107E+02;    0.20021E+01;    0.28881E+01;    0.17284E+02;    0.79928E+02;    0.89963E+00;    0.25180E+00;    0.20130E+02;    0.56243E+05;    0.25374E+02;    0.40440E+02;    0.90224E+00;    0.31869E-02;    0.61752E-02;    0.11014E-02;    0.63564E+00;normal
    0.20171E+02;    0.24657E+00;    0.29941E+02;    0.20088E+01;    0.28456E+01;    0.17033E+02;    0.80160E+02;    0.89235E+00;    0.24963E+00;    0.19838E+02;    0.56642E+05;    0.25582E+02;    0.40847E+02;    0.88360E+00;    0.13844E-01;   -0.13884E-01;   -0.20190E-02;   -0.30203E-01;normal
    0.20263E+02;    0.25069E+00;    0.30159E+02;    0.20062E+01;    0.28548E+01;    0.17231E+02;    0.79791E+02;    0.89199E+00;    0.25245E+00;    0.20091E+02;    0.56631E+05;    0.25092E+02;    0.40811E+02;    0.90704E+00;    0.97683E-02;   -0.13306E-01;    0.29996E-02;    0.51364E+00;normal
    0.20026E+02;    0.25062E+00;    0.30167E+02;    0.19976E+01;    0.28606E+01;    0.17042E+02;    0.80127E+02;    0.90428E+00;    0.24787E+00;    0.19704E+02;    0.55922E+05;    0.25591E+02;    0.40717E+02;    0.90809E+00;   -0.29991E-02;    0.68799E-02;   -0.37855E-02;   -0.28024E+00;normal
    0.19982E+02;    0.24877E+00;    0.30171E+02;    0.19975E+01;    0.28562E+01;    0.16942E+02;    0.79890E+02;    0.89682E+00;    0.25486E+00;    0.20145E+02;    0.55827E+05;    0.25626E+02;    0.40596E+02;    0.89111E+00;   -0.25834E-02;    0.30335E-02;    0.30458E-02;   -0.57619E+00;normal
    0.19873E+02;    0.25024E+00;    0.30036E+02;    0.20002E+01;    0.28134E+01;    0.16997E+02;    0.80205E+02;    0.89603E+00;    0.25119E+00;    0.19999E+02;    0.56499E+05;    0.25277E+02;    0.40764E+02;    0.90236E+00;    0.16607E-02;   -0.71093E-02;    0.92794E-03;   -0.46288E+00;normal
    0.19893E+02;    0.25254E+00;    0.29939E+02;    0.19939E+01;    0.28422E+01;    0.17195E+02;    0.80020E+02;    0.88982E+00;    0.24810E+00;    0.19963E+02;    0.56699E+05;    0.24856E+02;    0.40664E+02;    0.89823E+00;   -0.78983E-02;   -0.12524E-01;   -0.25849E-03;    0.34937E-01;normal
    0.19825E+02;    0.24916E+00;    0.29909E+02;    0.19940E+01;    0.28264E+01;    0.17251E+02;    0.79896E+02;    0.90594E+00;    0.24929E+00;    0.20254E+02;    0.56600E+05;    0.25057E+02;    0.40423E+02;    0.89747E+00;   -0.80183E-02;    0.10069E-01;    0.32600E-04;    0.14776E+00;normal
    0.19931E+02;    0.25190E+00;    0.30095E+02;    0.20029E+01;    0.28386E+01;    0.17150E+02;    0.79817E+02;    0.89487E+00;    0.25084E+00;    0.19955E+02;    0.56946E+05;    0.24998E+02;    0.40543E+02;    0.88232E+00;    0.50625E-02;   -0.65831E-02;    0.18205E-02;    0.13735E+00;normal
    0.20233E+02;    0.24629E+00;    0.29835E+02;    0.20113E+01;    0.28349E+01;    0.16959E+02;    0.80036E+02;    0.90062E+00;    0.25566E+00;    0.19877E+02;    0.56359E+05;    0.25178E+02;    0.41030E+02;    0.90073E+00;    0.18266E-01;   -0.76607E-02;    0.58171E-02;   -0.17769E+00;normal
    0.20055E+02;    0.25070E+00;    0.30217E+02;    0.20098E+01;    0.28666E+01;    0.17132E+02;    0.80043E+02;    0.89980E+00;    0.24869E+00;    0.19918E+02;    0.56449E+05;    0.25403E+02;    0.40482E+02;    0.90289E+00;    0.15352E-01;    0.37377E-02;   -0.21654E-02;    0.38702E+00;normal
    0.19779E+02;    0.24901E+00;    0.29971E+02;    0.20084E+01;    0.28787E+01;    0.17142E+02;    0.80074E+02;    0.90247E+00;    0.25232E+00;    0.19781E+02;    0.56207E+05;    0.24791E+02;    0.41217E+02;    0.90016E+00;    0.13382E-01;   -0.89662E-02;    0.42215E-02;    0.41296E+00;normal
    0.20010E+02;    0.25243E+00;    0.30325E+02;    0.19829E+01;    0.28297E+01;    0.17122E+02;    0.80304E+02;    0.90553E+00;    0.25251E+00;    0.19916E+02;    0.56546E+05;    0.25077E+02;    0.40549E+02;    0.90067E+00;   -0.24666E-01;    0.71124E-02;    0.31879E-02;   -0.56996E+00;normal
    0.19881E+02;    0.24704E+00;    0.30011E+02;    0.20152E+01;    0.28729E+01;    0.17074E+02;    0.79806E+02;    0.90202E+00;    0.24771E+00;    0.19862E+02;    0.57219E+05;    0.25662E+02;    0.40686E+02;    0.89701E+00;    0.23697E-01;   -0.50027E-02;   -0.43066E-02;    0.39947E+00;normal
    0.20079E+02;    0.24890E+00;    0.30271E+02;    0.19993E+01;    0.28589E+01;    0.17339E+02;    0.79915E+02;    0.90059E+00;    0.24721E+00;    0.20231E+02;    0.55835E+05;    0.26323E+02;    0.40740E+02;    0.89856E+00;    0.11755E-03;    0.33523E-02;   -0.76910E-02;    0.68900E+00;normal
    0.19984E+02;    0.25005E+00;    0.29987E+02;    0.20144E+01;    0.28502E+01;    0.17092E+02;    0.79914E+02;    0.90726E+00;    0.25008E+00;    0.19966E+02;    0.56467E+05;    0.25236E+02;    0.40360E+02;    0.89261E+00;    0.22521E-01;    0.13921E-01;   -0.38692E-04;    0.37177E+00;normal
    0.20061E+02;    0.25049E+00;    0.30135E+02;    0.20154E+01;    0.28453E+01;    0.17107E+02;    0.80000E+02;    0.90187E+00;    0.25102E+00;    0.19784E+02;    0.56353E+05;    0.24799E+02;    0.40527E+02;    0.89701E+00;    0.24420E-01;    0.54918E-02;    0.28741E-02;    0.43372E+00;normal
    0.19944E+02;    0.24804E+00;    0.29915E+02;    0.19872E+01;    0.28568E+01;    0.17219E+02;    0.79966E+02;    0.89610E+00;    0.24921E+00;    0.20269E+02;    0.56565E+05;    0.25063E+02;    0.40513E+02;    0.89877E+00;   -0.17536E-01;   -0.16293E-02;   -0.61518E-04;   -0.35525E-01;normal
    0.19897E+02;    0.24960E+00;    0.29904E+02;    0.20080E+01;    0.28291E+01;    0.17052E+02;    0.80217E+02;    0.90343E+00;    0.24941E+00;    0.20205E+02;    0.56261E+05;    0.24534E+02;    0.40615E+02;    0.90280E+00;    0.13497E-01;    0.57154E-02;    0.24786E-02;    0.65131E-02;normal
    0.19892E+02;    0.25119E+00;    0.30083E+02;    0.19906E+01;    0.28604E+01;    0.17077E+02;    0.80295E+02;    0.90859E+00;    0.24934E+00;    0.20031E+02;    0.56734E+05;    0.24652E+02;    0.40711E+02;    0.89482E+00;   -0.13787E-01;    0.48351E-02;    0.19188E-02;   -0.37614E+00;normal
    0.19920E+02;    0.24944E+00;    0.30028E+02;    0.19937E+01;    0.28315E+01;    0.17036E+02;    0.80225E+02;    0.90397E+00;    0.25172E+00;    0.19744E+02;    0.55278E+05;    0.25174E+02;    0.41081E+02;    0.89585E+00;   -0.98638E-02;    0.32691E-02;    0.19363E-02;   -0.50175E+00;normal
    0.20002E+02;    0.24904E+00;    0.29871E+02;    0.20070E+01;    0.28300E+01;    0.17006E+02;    0.80041E+02;    0.90030E+00;    0.24659E+00;    0.20134E+02;    0.55417E+05;    0.25306E+02;    0.40881E+02;    0.90053E+00;    0.97026E-02;    0.31219E-02;   -0.38179E-02;   -0.21305E+00;normal
    0.20047E+02;    0.25005E+00;    0.29712E+02;    0.19966E+01;    0.28498E+01;    0.17243E+02;    0.79983E+02;    0.89350E+00;    0.24460E+00;    0.19942E+02;    0.55874E+05;    0.25503E+02;    0.40526E+02;    0.89572E+00;   -0.59577E-02;    0.96592E-03;   -0.66647E-02;    0.24809E+00;normal
    0.19916E+02;    0.24853E+00;    0.30017E+02;    0.20054E+01;    0.28353E+01;    0.17090E+02;    0.79875E+02;    0.89624E+00;    0.25141E+00;    0.20134E+02;    0.56710E+05;    0.25103E+02;    0.40595E+02;    0.89869E+00;    0.70956E-02;   -0.45684E-02;    0.19157E-02;    0.50731E-02;normal
    0.20020E+02;    0.25107E+00;    0.30084E+02;    0.20226E+01;    0.28265E+01;    0.17072E+02;    0.79914E+02;    0.89301E+00;    0.25073E+00;    0.19865E+02;    0.56362E+05;    0.24461E+02;    0.40273E+02;    0.90208E+00;    0.32871E-01;    0.25706E-02;    0.40973E-02;    0.44690E+00;normal
    0.20030E+02;    0.24711E+00;    0.29923E+02;    0.20064E+01;    0.28572E+01;    0.17330E+02;    0.80098E+02;    0.90085E+00;    0.25058E+00;    0.19902E+02;    0.56019E+05;    0.25113E+02;    0.40412E+02;    0.89424E+00;    0.87645E-02;    0.98488E-02;    0.10373E-02;    0.83020E+00;normal
    0.20000E+02;    0.25063E+00;    0.30132E+02;    0.19857E+01;    0.27885E+01;    0.17105E+02;    0.79976E+02;    0.89841E+00;    0.24964E+00;    0.19898E+02;    0.56074E+05;    0.25010E+02;    0.40352E+02;    0.90156E+00;   -0.22075E-01;    0.83650E-02;    0.61389E-03;   -0.65384E+00;normal
    0.19999E+02;    0.24910E+00;    0.29983E+02;    0.20151E+01;    0.28280E+01;    0.17030E+02;    0.80301E+02;    0.89359E+00;    0.25489E+00;    0.20196E+02;    0.56774E+05;    0.25221E+02;    0.40828E+02;    0.90580E+00;    0.21834E-01;   -0.13256E-01;    0.48460E-02;    0.12151E+00;normal
    0.19908E+02;    0.25270E+00;    0.29828E+02;    0.20074E+01;    0.28285E+01;    0.17217E+02;    0.79700E+02;    0.90826E+00;    0.25021E+00;    0.19949E+02;    0.55601E+05;    0.25323E+02;    0.40624E+02;    0.89810E+00;    0.97336E-02;    0.15621E-01;   -0.27981E-03;    0.45050E+00;normal
    0.20101E+02;    0.25151E+00;    0.30121E+02;    0.20140E+01;    0.28699E+01;    0.17157E+02;    0.79852E+02;    0.89833E+00;    0.24829E+00;    0.20157E+02;    0.56277E+05;    0.24925E+02;    0.40674E+02;    0.90390E+00;    0.19212E-01;   -0.90058E-03;   -0.42466E-03;    0.58835E+00;normal
    0.19913E+02;    0.25177E+00;    0.30023E+02;    0.20093E+01;    0.28594E+01;    0.17366E+02;    0.79844E+02;    0.90268E+00;    0.24805E+00;    0.20078E+02;    0.55862E+05;    0.24845E+02;    0.40461E+02;    0.90097E+00;    0.12599E-01;    0.11787E-01;   -0.29438E-03;    0.10552E+01;normal
    0.19860E+02;    0.24821E+00;    0.29900E+02;    0.19971E+01;    0.28295E+01;    0.17064E+02;    0.80115E+02;    0.88081E+00;    0.25310E+00;    0.20018E+02;    0.55565E+05;    0.25121E+02;    0.40674E+02;    0.90141E+00;   -0.45670E-02;   -0.12714E-01;    0.35394E-02;   -0.26978E+00;normal
    0.19690E+02;    0.24856E+00;    0.30040E+02;    0.20073E+01;    0.28361E+01;    0.17461E+02;    0.80138E+02;    0.90315E+00;    0.25356E+00;    0.19922E+02;    0.55104E+05;    0.25204E+02;    0.40502E+02;    0.90185E+00;    0.11637E-01;    0.17346E-01;    0.36115E-02;    0.12701E+01;normal
    0.19960E+02;    0.25190E+00;    0.29998E+02;    0.20057E+01;    0.28084E+01;    0.17068E+02;    0.79688E+02;    0.88772E+00;    0.24667E+00;    0.20186E+02;    0.56231E+05;    0.24539E+02;    0.40734E+02;    0.89316E+00;    0.90584E-02;   -0.12550E-01;   -0.27590E-03;   -0.55994E-01;normal
    0.19804E+02;    0.25326E+00;    0.29917E+02;    0.19915E+01;    0.28046E+01;    0.17034E+02;    0.80010E+02;    0.90174E+00;    0.24828E+00;    0.19829E+02;    0.56804E+05;    0.25227E+02;    0.40885E+02;    0.90253E+00;   -0.12534E-01;   -0.66862E-02;   -0.17362E-02;   -0.59014E+00;normal
    0.19977E+02;    0.25015E+00;    0.30331E+02;    0.19931E+01;    0.28168E+01;    0.17340E+02;    0.80406E+02;    0.90871E+00;    0.24925E+00;    0.19909E+02;    0.55625E+05;    0.24834E+02;    0.40663E+02;    0.90135E+00;   -0.93523E-02;    0.14951E-01;    0.99423E-03;    0.41689E+00;normal
    0.19901E+02;    0.24822E+00;    0.30078E+02;    0.19925E+01;    0.28342E+01;    0.17354E+02;    0.79762E+02;    0.89823E+00;    0.24642E+00;    0.20088E+02;    0.56424E+05;    0.24545E+02;    0.40772E+02;    0.89533E+00;   -0.10766E-01;   -0.44865E-02;   -0.51925E-03;    0.48333E+00;normal
    0.20308E+02;    0.24814E+00;    0.30115E+02;    0.19942E+01;    0.28469E+01;    0.17247E+02;    0.80160E+02;    0.89447E+00;    0.24657E+00;    0.19977E+02;    0.55827E+05;    0.25839E+02;    0.40478E+02;    0.90247E+00;   -0.74746E-02;    0.34448E-02;   -0.61799E-02;    0.25815E+00;normal
    0.20035E+02;    0.24963E+00;    0.30108E+02;    0.20115E+01;    0.28640E+01;    0.17281E+02;    0.80379E+02;    0.89694E+00;    0.24956E+00;    0.20031E+02;    0.56594E+05;    0.25008E+02;    0.40740E+02;    0.89208E+00;    0.18630E-01;   -0.63793E-02;    0.47630E-03;    0.92562E+00;normal
